No.;Soal;Pilihan A;Pilihan B;Pilihan C;Pilihan D;Kunci Jawaban
1;Surah Al-Kafirun berisi tentang perintah untuk...;Berperang;Toleransi beragama;Mencari ilmu;Bersedekah;B
2;"Potongan ayat ""Lakum dinukum waliyadin"" artinya...";Bagiku agamaku;Bagimu agamamu;Untukmu agamamu, dan untukku agamaku;Agama adalah kunci;C
3;Surah Al-Kafirun terdiri dari ... ayat.;5;6;7;8;B
4;Orang yang mendustakan agama menurut surah Al-Ma'un adalah orang yang...;Menghardik anak yatim;Tidak salat subuh;Berkata kasar;Berbohong;A
5;Surah Al-Ma'un artinya adalah...;Pembukaan;Nikmat yang banyak;Barang-barang yang berguna;Pertolongan;C
6;Contoh perilaku membantu sesama sesuai surah Al-Ma'un adalah...;Pamer harta;Memberi makan orang miskin;Tidur siang;Bermain bersama;B
7;Beriman kepada Qada dan Qadar termasuk rukun iman yang ke...;4;5;6;3;C
8;Ketentuan Allah SWT terhadap makhluk-Nya sejak zaman azali disebut...;Qada;Qadar;Nasib;Takdir;A
9;Ketentuan Allah SWT yang telah terjadi pada makhluk-Nya disebut...;Qada;Qadar;Janji;Usaha;B
10;Takdir Allah yang masih bisa diubah dengan doa dan ikhtiar disebut takdir...;Mubram;Muallaq;Pasti;Mutlak;B
11;Contoh takdir mubram (yang tidak dapat diubah) adalah...;Kepintaran;Kekayaan;Kematian;Kesehatan;C
12;Sikap yang benar saat menerima musibah adalah...;Marah;Sabar dan ikhlas;Menangis terus;Menyalahkan orang lain;B
13;Allah Maha Pengampun, dalam Asmaul Husna disebut...;Al-Aziz;Al-Ghaffar;Al-Wahhab;Al-Quddus;B
14;"Nama Allah ""Al-Afuww"" artinya...";Maha Pemberi;Maha Mulia;Maha Pemaaf;Maha Bijaksana;C
15;Perbedaan Al-Ghaffar dan Al-Afuww adalah Al-Afuww berarti...;Menutup dosa;Menghapus dosa sampai akar;Menunda azab;Menambah nikmat;B
16;Allah Maha Dibutuhkan oleh semua makhluk, disebut...;Al-Malik;Al-Basir;As-Samad;Al-Ahad;C
17;Berbakti kepada kedua orang tua dikenal dengan istilah...;Birrul Walidain;Ukhuwah;Hubbul Wathan;Silaturahmi;A
18;Cara berbakti kepada orang tua yang sudah meninggal adalah...;Memberi uang;Menyiapkan makanan;Mendoakan mereka;Mengajak jalan-jalan;C
19;Menghormati guru hukumnya adalah...;Sunnah;Mubah;Wajib;Makruh;C
20;Sikap toleransi terhadap teman yang berbeda agama saat mereka beribadah adalah...;Ikut ibadah mereka;Melarang mereka;Menghargai dan tidak mengganggu;Mengajak bermain;C
21;Hewan yang boleh dimakan menurut syariat Islam disebut hewan...;Haram;Halal;Najis;Subhat;B
22;Berikut adalah contoh minuman yang haram, kecuali...;Khamr;Darah;Air kelapa;Minuman beracun;C
23;Syarat hewan menjadi halal dikonsumsi selain jenisnya adalah...;Disembelih atas nama Allah;Dimasak dengan enak;Dibeli di pasar mahal;Digoreng kering;A
24;Hewan yang hidup di dua alam (seperti katak) hukum memakannya adalah...;Halal;Sunnah;Haram;Mubah;C
25;Tujuan mengonsumsi makanan halal adalah agar tubuh sehat dan ibadah...;Menjadi berat;Diterima oleh Allah;Menjadi pamer;Terasa lelah;B
26;Ibadah menyembelih hewan ternak pada hari Idul Adha disebut...;Zakat;Qurban;Akikah;Sedekah;B
27;Hukum melaksanakan ibadah qurban bagi yang mampu adalah...;Wajib;Sunnah Muakkad;Mubah;Makruh;B
28;Waktu penyembelihan hewan qurban adalah tanggal 10 Zulhijjah dan...;Hari Raya Idul Fitri;Hari Tasyrik;Bulan Ramadan;Awal tahun Hijriyah;B
29;Hewan yang tidak boleh dijadikan hewan qurban adalah...;Sapi;Kambing;Ayam;Unta;C
30;Pembagian daging qurban sebaiknya diberikan kepada...;Keluarga sendiri saja;Fakir miskin dan tetangga;Dijual kembali;Orang kaya saja;B
31;Khalifah pertama setelah Rasulullah SAW wafat adalah...;Umar bin Khattab;Abu Bakar As-Siddiq;Utsman bin Affan;Ali bin Abi Thalib;B
32;"Julukan ""Al-Faruq"" (pembeda antara benar dan salah) diberikan kepada...";Umar bin Khattab;Abu Bakar;Ali bin Abi Thalib;Utsman bin Affan;A
33;Khalifah yang dikenal sangat dermawan dan mengumpulkan Al-Qur'an adalah...;Umar bin Khattab;Utsman bin Affan;Ali bin Abi Thalib;Abu Bakar;B
34;Khalifah yang merupakan sepupu sekaligus menantu Rasulullah SAW adalah...;Abu Bakar;Umar bin Khattab;Ali bin Abi Thalib;Utsman bin Affan;C
35;Wali Songo yang berdakwah melalui sarana wayang kulit adalah...;Sunan Gresik;Sunan Ampel;Sunan Kalijaga;Sunan Giri;C
36;Wali Songo pertama yang menyebarkan Islam di tanah Jawa adalah...;Sunan Gresik;Sunan Bonang;Sunan Drajat;Sunan Muria;A
37;"Sunan Ampel menyebarkan ajaran ""Moh Limo"", yang artinya...";Lima pilar Islam;Tidak mau melakukan lima maksiat;Lima waktu salat;Lima rukun iman;B
38;Memelihara lingkungan dan alam adalah tugas manusia sebagai...;Pedagang;Khalifah di bumi;Penjelajah;Penguasa;B
39;Menanam pohon kembali di hutan yang gundul disebut...;Irigasi;Reboisasi;Urbanisasi;Oksidasi;B
40;Perilaku jujur dalam perkataan dan perbuatan disebut...;Amanah;Siddiq;Tabligh;Fatanah;B
41;Lawan dari sifat jujur adalah...;Sombong;Dusta;Kikir;Malas;B
42;Menjaga titipan orang lain dan menyampaikannya dengan benar disebut...;Amanah;Fatanah;Sabar;Syukur;A
43;"Rasulullah memiliki sifat ""Fatanah"" yang artinya...";Jujur;Cerdas;Benar;Menyampaikan;B
44;Salat sunnah yang dilakukan untuk meminta hujan disebut salat...;Khusuf;Istisqa;Rawatib;Tahajud;B
45;Berikut adalah adab makan sesuai sunnah, kecuali...;Mencuci tangan;Menggunakan tangan kanan;Makan sambil berdiri;Membaca doa;C
46;Allah memberikan cobaan kepada manusia bertujuan untuk...;Menyiksa manusia;Menguji keimanan;Membuat sedih;Menghapus pahala;B
47;Menghindari sifat iri dan dengki termasuk upaya menjaga...;Kesehatan fisik;Kebersihan hati;Kekayaan;Popularitas;B
48;Membantu orang tua membersihkan rumah merupakan contoh amal...;Jariyah;Saleh;Buruk;Sia-sia;B
49;Berdoa hanya boleh ditujukan kepada...;Malaikat;Nabi;Allah SWT;Orang suci;C
50;Hari kiamat pasti terjadi, maka kita harus memperbanyak...;Harta benda;Mainan;Amal ibadah;Teman bermain;C
